year,low_Mg_C,best_Mg_C,high_Mg_C,legacy_Mg_C
1993,4634218,7233263,11008228,18853715
2003,4755233,7416952,11279777,19341681
2013,4354709,6933604,10685847,17112890
2023,4080146,6600728,10274944,15592599
2033,3892258,6372400,9992447,14554874
2043,3764385,6216832,9799762,13849467
